# Start Aug 13 2023 23:18:51 UTC 6mi S of Arnett, OK
# Rabbit1,1
# https://sswa.tv/wxlogs
[f,da,db,dc,ga,go,t,h,p],
[914.6,23,25,59,3602.5571,9945.3691,21.34,89.23,93243.51],
[914.6,23,26,1,3602.5571,9945.3691,21.32,89.41,93224.15],
[914.6,23,26,3,3602.5571,9945.3691,21.34,89.68,93235.34],
[914.6,23,26,5,3602.5571,9945.3691,21.32,89.60,93248.91],
[914.6,23,26,7,3602.5571,9945.3691,21.33,89.91,93230.57],
[914.6,23,26,9,3602.5571,9945.3691,21.33,90.12,93246.51],
[914.6,23,26,11,3602.5571,9945.3691,21.32,90.24,93251.92],
[914.6,23,26,13,3602.5571,9945.3691,21.32,90.20,93248.86],
[914.6,23,26,15,ga,9945.3691,21.31,89.79,93239.69],
[914.6,23,26,17,3602.5571,9945.3691,21.34,89.57,93247.81],
[914.6,23,26,19,3602.5571,9945.3691,21.37,89.64,93245.77],
[914.6,23,26,21,3602.5571,9945.3691,21.35,89.57,93256.95],
[914.6,23,26,23,3602.5571,9945.3691,21.37,89.32,93254.91],
[914.6,23,26,25,3602.5571,9945.3691,21.39,88.97,93246.07],
[914.6,23,26,27,3602.5571,9945.3691,21.40,88.78,93259.63],
[914.6,23,26,29,3602.5571,9945.3691,21.43,88.99,93250.80],
[914.6,23,26,31,3602.5571,9945.3691,21.43,89.05,93263.33],
[914.6,23,26,33,3602.5571,9945.3691,21.43,89.21,93267.39],
[914.6,23,26,35,3602.5571,9945.3691,21.44,89.18,93261.95],
[f,23,26,37,3602.5571,go,21.44,89.21,93267.03],
[914.6,23,26,39,3602.5571,9945.3691,21.44,89.18,93272.44],
[914.6,23,26,41,3602.5571,9945.3691,21.43,89.28,93261.22],
[914.6,23,26,43,3602.5571,9945.3691,21.43,89.55,93264.95],
[914.6,23,26,45,3602.5571,9945.3691,21.44,89.77,93269.01],
[914.6,23,26,47,3602.5571,9945.3691,21.42,89.94,93276.46],
[914.6,23,26,49,3602.5571,9945.3691,21.43,90.13,93274.74],
[914.6,23,26,51,3602.5571,9945.3691,21.41,89.86,93274.05],
[914.6,23,26,53,3602.5571,9945.3691,21.43,89.77,93267.59],
[914.6,23,26,55,3602.5571,9945.3691,21.44,89.40,93250.28],
[914.6,23,26,57,3602.5571,9945.3691,21.45,89.59,93269.92],
[914.6,23,26,59,3602.5571,9945.3691,21.44,88.88,93263.13],
[914.6,23,27,1,3602.5571,9945.3691,21.48,88.84,93243.45],
[914.6,23,27,3,3602.5571,9945.3691,21.47,88.80,93270.22],
[914.6,23,27,5,3602.5571,9945.3691,21.49,88.85,93276.31],
[914.6,23,27,7,3602.5571,9945.3691,21.49,88.63,93259.01],
